index Label,Tweet Text
0,can u help   more conservatives needed ontsu   get paid 4 posting stuff like this   you   can go to
1,just walked in tostarbucks and asked for a  tall blonde  hahahaha  
0,not gonna win
0,he is exactly that sort of person  weirdo 
1,so much   at work mate 10 10boring 100 dead mate full onshit absolutelysleeping mate cannot handle the  
0,corny jokes are my absolute favorite
1,people complain about my backround pic and all i feel is like  hey do not blame me  albert e might have spoken those words   life
0,darn  my sock joke needs fixing 
0,if christian expects fifa to sleep in my bed with me tonight  he is wrong  
1,people who tell people with anxiety to  just stop worrying about it  are my favorite kind of peoplenoteducateyourself
0,most important thing I have learned in school
0,orionlaunch underway   yeah orion
1,i love context and large ensemble fridays   der my most favourite  getthefuckout
0,oh boy   in the house  warm up the dj booth
0,liar  I have never denied the 532 murders in chicago in 2012
0,always classy  never trashy and just a little sassy 
0,you believe you can say something  provide no proof and its a fact  wrong
0,notlong to gobeforemainstreammediapitch surgeryfollowswithmeusingprototypedemonstratingrealsituation phil
0,re  jamie grace has tourette s  thanks for sharing  I am about to research her   post my tribute to this young lady gospel singer
1,guess they did not get the memo reg non nuclear baltic sea  
1,exam na jud  merry christmas       killusslowly
1,the definition of   would be if a 77 year old rapper wentviral and tookbitcoin mainstream  maybe only waybabyboomers will buy in 
1,pretty excited about how you gave up on me  file under   
1,who told thehipsters that   was a thing of the clinton years  do they not carry history books in used bookstores inbrooklyn  
0,u know that  how u doing  
1,hmm   let me think about that  
1,if you wanna look like a badass  have drama on social medianot
1,how dare charles barkley have an intelligent conversation about race   charlesbarkley
0,i think the general rule is  if it is open all night  pull an all nighter 
0,natalie prass   bird of prey  via
0,noo again it is on  pickanewsongcantstandit
1,being a hipster now is so mainstream  oh  the  hipster  
0,exactly and we are fighting like animals
0,teenanalcastingtop top 50 christian songs for 2012
0,the girls onsororitysisters thought they would get rich and famous but instead they be like  
0,speaking ofcountrymusic albums  anyone else thinksundownheaventown feels more like atimmcgraw album than  say  his previous three 
0,teenanalcastingsex sex and the city 2 movie casting auditions nyc summer 2009
0,season 6 episode 3 carries outfit  simple   chic  
1,well got the truck buried today perfect way to start a rainy wednesday work day offnotannoyedpissed
1,on the train and surrounded by posh people  I am so at home notstickoutlikeasorethumb
1,stupiddoctors visits is gonna bury me   now that is  
1,love the way says fault from last night will be fixed by 4pm  only to see a man in a van pull up at 4pm to fix the fault  
1,planning a vacation instead of studying   my priorities are in line not
0,dan said he is going to have a sign for me at the airport when i fly in lolsocute3moreweeks
1,you decide to go on vacation without me sleep  reaal nice consideratenot   
0,no sugar during christmas time    
1,cannot wait to have an afternoon schedule because of you  it is gonna be so much funnot
1,180 dead on 26 11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them  
0,the only time a crime becomes a federal crime
0,this music is for the people and not for the money  peace and love  kinglife
1,rangers league game with alloa moved because of the petrofac cup final in april    
0,how to find a life coach    the questions you need to ask before hiring one  via 
0,i wonder what was the holiday rituals for true africans
1,been at the er now since 10  yaynot
0,suhs been clean for 2 years and has only been in the league for five do not act like he was dirty for 10 years not biased my ass
0,thank you studs for perfecting and teaching my bench  respectively  props on form from lifters in al dyel
0,haley approves of her new hammock  ratsofinstagram
1,30 years on  people still have not got justice they deserve bhopalgastragedy yet another brilliant job done by the americans  
0,pips who drop out of school n have kirya as  eir role model tht ey wana sing too  guy spix portuguese french english   not a school dropout
0,free pets and animals booksfreebiebookdownload pets
0,there will be no next employer in nfl for trestman  he was a disgraceful hire and never stood a chance 
1,loovvee when my phone gets wiped    not
1,painting all cops with a broad brush because of the actions of a few is the same logic racists use   
1,do not know if i can handle this crazy 11 2 shift  it is so long i might pass out on the job   
1,i just love being ignored   not 
1,  rt   if you are going to give someone a scathing  1 star review for poor grammar  ffs use proper grammar 
1,produce mobile appsnot
1,decide that you want it more than you are afraid of it   bill cosby  
0,finally finished the first season ofveronicamars  move over cliffhuxtable  keith mars is the new sheriff  er  ultimatetv dad  in town 
0,merry christmas to all those soldiers out there that could not make it home  i love you all  
0,about as relevant as michael sam and jason collins  rt   major league baseball umpire dale scott comes out as gay 
0,getting final jeopardy correct on kids jeopardy boosts my self esteem
1,itsfunny bc people think im quiet but im just listening toeveryones convos and figuring out ur weaknesses todestroy u later in life  
0,woke up   showered   made a lunch and got ready for work only to realize that i have the whole weekend off   
0,how many of those jobs earnmiddleclass wages economicsmathz
1,i reckon straight women fancy victoria secret models more than straight men dovictoriasecret  
0,incredible insight on the bornrisky campaign  amputeemovementequalityartprosthetics
0,lovehiphop mix tapes or have a mixtape to promote check out follow them on twitterundergroundhiphop
0,extended cut  nicha  trailerspooffilmdramaticactionfilm2014youtubefightscenes
0,stunning work britishtextilesfootwearmadeinbritainnot a nike clone
0,sent it but too slow  i had already posted 
0,femalecondomanallyvaginallyprevent std s hiv pregnancylatexfreenotrestrictive tightwomen gay men
0,little cutiechicodogdoggypuppysweetcuteukblackbiscuitnotmineminimissmy
1,niagra falls tho   really   lol
1,if we win against poland and scotland  does that put us 65th in the world rankings   
0,myanmarmenpleadnotguilty tomurder ofbritishtourists  via
1,since the tribunal was established 14 years ago  no complaint against the intelligence services has ever been upheld trustthesystemnot
1,  garner protesters chant  f ck fox news  despite fox agreeing with them ericgarner  
0,after 1989  why did nato need to expand 
1,the   of playing this song on my way towork   nomoneyparttimecooks blackmossptc thanks for  
0,you are taking your responsibilities so seriously today that i   more for leo
1,we get it right for business the trickle down fairy will do the restnot
0,can you not understand that not everything is about the president 
1,when you are in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feelingnot
1,well now the festive season has begun  let us take a moment to reflect on how much more royalties slade and wizard will get  
0,the last day of the year and i will be tweeting on my major highpoints of the year   good  bad and ugly
