index Label,Tweet Text
1,sweet united nations video  just in time for christmas imaginenoreligion
1,we are rumored to have talked to erv s agent   and the angels asked about ed escobar   that is hardly nothing   
1,hey there  nice to see you minnesota nd winter weather
0,3 episodes left I am dying over here
1, i cannot breathe   was chosen as the most notable quote of the year in an annual list released by a yale university librarian
0,you are never too old for footie pajamas 
1,nothing makes me happier then getting on the highway and seeing break lights light up like a christmas tree  
0,4 30 an opening my first beer now gonna be a long night day
0,do you think you would support a guy who knocked out your daughter  rice does not deserve support 
0,you are not allowed to open that until christmas day 
1,oh  thank god   our entire office email system is down   the day of a big event  santa  you know just what to get me for xmas 
0,but instead  I am scrolling through facebook  instagram  and twitter for hours on end  accomplishing nothing 
0, pouting face  no he bloody is not i was upstairs getting changed  
0,cold or warmth both suffuse one is cheeks with pink  colour tone     do you understand the underlying difference   its texture 
1,just great when you are mobile bill arrives by text
1,crushes are great until you realize they will never be interested in you    p
1,buffalo sports media is smarter than all of us  where else can you get the quality insight offered by harrington and busgaglia 
0,i guess my cat also lost 3 pounds when she went to the vet after I have been feeding her a few times a day    eating  food    workingout
1,trading a sp for a defense only ss  brilliant trade 
1,but was trying to find us  and my battery died  guess how he found us  yes  that bastard wand    
1,please do  i need the second hand embarrassment so desperatly on my phone
0,i never cared for beyonce  bc i could never get a sense of who she was  her interviews lacked depth  tho  this girl got it 
1,time to hit the books then
0,thx4flw  flwthemusic we relektrikbloomelektrikfantasyiwant2driftelev8theunderground 
1,love these cold winter mornings  grimacing face  best feeling everr  
0,amazingly is not owned bybhp  they are going to have to shell out some decent money for it bhpbillitonsouth32
0,wish she could have told me herself  nicolescherzingeronelovemyfavmyqueen  heavy black heart   heavy black heart  
0,the rain has made extra extra lazy smiling face with open mouth and cold sweat 
0,i was doing great with this summary of my year until i got to june 27th  and the weekend of  s birthday rivertripgroupchat
0,see  that might show up on a background check  and you would be denied its a catch 22 we have the right to self protection
1,smh never knew something could be 80  halal  been muslim my whole life but somehow I have learned something new i guess
1,a wonderful day of starting work at 6am
0,i feel like whole life is about waiting waiting and waiting
0,lol  grinning face with smiling eyes    will let my kids know when they get up in the morning   thanks for the tip
1,you guys sure screwed this up royally  I am happy for lester  the brain trust over there sucks nicejob lestertochicago
0,aussiegunmanwas on terroristwatchlist  pmsays  sydney   the gunman who took 17 hostages in sydney  
1, twig  is now  sprig  3 sec limit on new social video platform techtalkeditorspicksillyvinetr  
0,and what will that achieve  seriously to be fired all the guys who had the balls to call them out are gone  
1,yay for another work at 4am day  neutral face 
1,physical therapy at 8 am is just what i want to be doing with my friday iwanttosleep
1,omg did not tell he was in town  face screaming in fear truefriend
1,i thought what we had was real  how could you be fine  coz I am not fine at all oh wait  fixed the caps lock     laughnow  o 
1,hahahaha  hypocrisy  mt   katie hopkins calls russell brand a bully   
1,that moment when you have so much stuff to do but you open   productivity tumblr
0,lol  i m enjoying it two women holding hands talkscrazynesssheneverleft sleepy    white smiling face 
1,luv this
1,  when some naturopaths sell  aromatic  herbs the way apothecaries sell noxious poisons naturopath  apothecaryherb  poison
0,   goal of the season 1970  goal 1  jon sammelsarsenal vsmanutd
0,really  what else can a fish be besides a fish 
0,i think it is a safe bet it will not fit the crime 
1,it will be impossible for me to be late if i start to dress up right now studinguniversitylazy
1,when you are already running late and then your car will not start   fantasticfriday
1,i decided to become my own boss to have more free time   now i have no time left whatsoever 
0,loyalty vs  self protection loyalty vs  self protection loyalty vs  self protection loyalty vs  self protection
0,american kids starting playing and now I am super missingsummer2k14kennychesney
0,do not know how monsanto   among 100 most sustainable cos in the world sure all parameters are measured net positive 
0,none of the big  disruptive innovations in our lives have come out of brainstorming   bruce nussbaum
0,that way people get to understand disabilities and not stare at us funny wen we out and about idpwd disability
1,shit  i better shut my stupid girly mouth because im so concerned about what men might think of me 
0,why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth 
0,tell me thequintessentialaussie now is not a govt paid job   then have the hyde to buy overseas online and pay no gst   mmsadbuttrue
0, dirk s got a lot of moves I am trying to steal     kevin durant on his one legged fadeway
1,about once a yr i get a little nutty and reach for the orange marmalade livingontheedge
1,rogers  that smile just so accurately captures my reaction when i receive an extra high phone bill 
1,whatever happened to the guano apes  did they ever make it  big in japan  
0,bmw i8 sexy az hell but too slow for the dinero 12 4 in the quarter mile slowfan of the design feeling the  
0,let your humility guard your pride    vanity should not be allowed to be with such a delicate thing 
0,whenever i get sad about how things are going now  i just think of how awesome the future looks to be secondsemesterdrumcorpscollege
1,i asked god to protect me from my enemies    shortly after i started losing friends  flushed face  hundred points symbol  ornaah
1,just delivered cronuts to hmm its for a customer i hope  
1,such   you still have topraisehim   
0,hey heyy  i  wanna be a rockstarvscocam herovsocamherospiderman
1,     awk moment when i tweeted firstfakefan    
0,waa mockingjay part 2 tahon depan meh 20 nov 2015 wtvr night at the museum 3mustwatchb4decemberendssobssobs
1,nice to see the ambulance service is so important to our mps
1,i love finals week justkidding stressed
